id	area	title	year	x	y	ix
3577700	EDA	digital exhibitions, a powerful tool for cultural institutions audience development the international working group on digital exhibitions	2015	13.424140855630345	-4.133497631445802	3577727
3577978	HCI	frenzy: collaborative data organization for creating conference sessions	2014	13.12617088705879	-4.375204323522452	3578005
3579932	DB	a digital window for watching snow scenes	2007	13.822164377186407	-4.180803343585176	3579959
3580153	HCI	young people for an interactive archaeology in calabria	2015	13.648192517291026	-4.398107598896346	3580180
3580509	Web+IR	collaborative information seeking: understanding users, systems, and content	2012	13.6815036030386	-4.885555104890592	3580536
3581194	Visualization	visualization needs more visual design!	1999	13.632584758420455	-4.385893865643856	3581221
3585356	NLP	introduction to the special section on eye gaze and conversation	2013	13.90079949091114	-4.294551768009229	3585383
3588959	Visualization	guest editorial: special issue on genetic programming, evolutionary computation and visualization	2018	13.11287993268107	-4.29166293557611	3588986
3590441	HCI	issues in the development of aal systems: what experts think	2017	13.958222157554795	-4.872128191819813	3590468
3598712	SE	reflections on the use of musical software in compositional processes for light art	2017	13.769636876359849	-4.666056328602497	3598739
3598844	HCI	a funny thing happened on the way to the formula: algorithmic composition for musical theater	2016	13.79077117503892	-4.624199179561903	3598871
3599130	Visualization	a primer on spatial scale and its application to mixed reality	2017	13.711087477427688	-4.737962596100403	3599157
3601236	HCI	"""bright ideas: a wearable interactive """"inventometer"""" (brainwave-based idea display)"""	2015	13.94445478008149	-4.9725391096244245	3601263
3603611	AI	explain to whom? putting the user in the center of explainable ai.	2017	13.280202228205313	-4.870797820112876	3603638
3605511	HCI	the texture of light	2006	13.995162837661484	-4.391046260201266	3605538
3612135	HCI	design and data: strategies for designing information products in team settings	2016	13.18667510181114	-4.790005300102986	3612162
3613826	SE	enter the usability engineer: integrating hci and software engineering	2000	13.82464812031181	-4.846738894912562	3613853
3616070	AI	computational artistic creativity and its evaluation	2009	13.577929049729303	-4.482588240836481	3616097
3619566	HCI	making things apart: gaining material understanding	2018	13.964114738845348	-5.009803019467316	3619593
3623871	Visualization	archaeological data visualization in vr: analysis of lamp finds at the great temple of petra, a case study	2001	13.327266447832182	-4.498565132618127	3623898
3630177	ML	an unconference unsession on computer music performance	2010	13.914200564794418	-4.5277071848171015	3630204
3635591	HCI	guest editorial: multimedia in social mobile computing (msmc)	2017	13.791799644368211	-4.4605216241340475	3635618
3636200	ML	entertainment in the age of big data	2012	13.25023982896858	-4.9611365893889925	3636227
3636476	SE	a serious game for understanding ancient seafaring in the mediterranean sea	2017	13.918998774882875	-4.2308950882457514	3636503
3638808	Graphics	solu: hyperinstrument	2010	13.37818588811542	-4.2593464825306	3638835
3639515	Vision	shooting up: a trip through the camera structure of up	2009	13.399052189051288	-4.108871610768795	3639542
3641980	Graphics	for jean-claude: [re]presenting duet for one pianist	2009	13.577022187933672	-4.601259776511116	3642007
3643205	HCI	game of the cursed prince based on android	2018	14.00345224454638	-4.325647379047073	3643232
3643497	HCI	taking sides: dynamic text and hip-hop performance	2006	13.240511498034616	-4.683377598094875	3643524
3645831	HCI	narrative space architecture and digital media	2009	13.556741048878633	-4.284243192186579	3645858
3645990	Web+IR	design for aesthetics: interactions of design variables and aesthetic properties	1999	13.677414477730201	-4.661115264065815	3646017
3646747	EDA	the renaissance is over: long live the renaissance	2005	13.11725802660074	-4.7821321942442685	3646774
3647127	HCI	avice: evolving avatar's movernent	2003	13.889854182101205	-4.790809478801512	3647154
3648946	Graphics	visualization, understanding, and design: technical perspective	2013	13.473126883761015	-4.8362319501500615	3648973
3649250	HCI	experience research: a methodology for developing human-centered interfaces	2010	13.818018240574505	-4.542941590580642	3649277
3649252	HCI	earth and planetary system science game engine	2006	13.920512659320691	-4.6040998338056704	3649279
3652459	HCI	integrating knowledge of multitasking and interruptions across different perspectives and research methods	2015	13.976626595093329	-4.967188886598304	3652486
3654454	HCI	interaction with geospatial data	2015	13.09354704147603	-4.890068664387279	3654481
3656632	HCI	capturing our stories and glifos: rich-media video	2010	13.2579563639734	-4.422340998854208	3656659
3657891	HCI	an open catalog of hand gestures from sci-fi movies	2015	13.654263993881555	-4.4528292330142	3657918
3661694	Vision	the urban incubator: (de)constructive (re)presentation of heterotopian spatiality and virtual image(ries)	2006	13.816046307791192	-4.504392769073178	3661721
3665189	HCI	"""agency and the """"emotion machine"""""""	2005	13.258174600262008	-4.274251282417364	3665216
3665460	Visualization	digital museums of cultural heritages in kyoto: the gion festival in a virtual space	2014	13.47887770561162	-4.111415684359387	3665487
3666473	NLP	modeling and development of the linguistic knowledge base delsom	2018	13.538984096070395	-4.1086311348819935	3666500
3666624	HCI	resonate: an interactive light- and sound-installation using a spatial tangible interface	2014	13.421342201584654	-4.907486069932107	3666651
3670619	HCI	activity theory, cognitive ergonomics and distributed cognition	2000	13.937885454687693	-4.410632720732416	3670646
3672179	AI	constructionist design methodology for interactive intelligences	2004	13.556546297336553	-4.581732674574812	3672206
3674826	Logic	guest editorial: computational narrative and games	2014	13.970951474001215	-4.9779757741273025	3674853
3675081	AI	usable artificial intelligence	2008	13.919925572198279	-4.751152357562286	3675108
3677657	HCI	"""multimodal digital archiving and reproduction of the world cultural heritage """"gion festival in kyoto"""""""	2010	13.502944332732215	-4.146688877947505	3677684
3678984	Visualization	aquarium earth	2016	13.650680990621838	-4.779004842017203	3679011
3680143	AI	natural language and exploration of an information space: the alfresco interactive system	1991	13.345652414048624	-4.212633634277018	3680170
3680445	HCI	siggraph 2006 course notes for the web as a procedural sketchbook	2006	13.824163281613494	-4.081632802534534	3680472
3681368	HCI	working with ukiyotiles	2006	13.661255664123194	-4.213810672876831	3681395
3683580	AI	creative knowledge environments promotion through case-based knowledge artifacts	2017	13.934377992874765	-4.384662568544859	3683607
3684177	HCI	developing hypermedia (panel)	1998	13.524756175072241	-4.760700814139966	3684204
3684433	Graphics	applying color theory to visualization	2017	13.304738251113072	-4.889424656789184	3684460
3685005	EDA	affective and effective visualisation: communicating science to non-expert users	2014	13.946956582874162	-4.826301749411546	3685032
3687578	HCI	supacollager : a participart installation proposal for enabling multi-user defined web-image collages	2008	13.778026837184337	-4.826471275495362	3687605
3687873	AI	a framework for the design and evaluation of magic tricks that utilises computational systems configured with psychological constraints	2014	13.758529934670007	-5.003715038243572	3687900
3687905	Visualization	openspace: bringing nasa missions to the public	2018	13.207411085671165	-4.537997776965506	3687932
3696944	Visualization	course: rapid advanced multimodal multi-device interactive application prototyping with max/jitter, processing, and opengl	2015	13.416566567025322	-4.3803355918445055	3696971
3698100	HCI	experiential media and digital culture	2013	14.027852545562466	-4.734255589275392	3698127
3700052	HCI	crafting tools for textile electronic making	2017	13.88933660855802	-4.876226187484586	3700079
3700331	Graphics	computer music video: a composer's perspective	2005	13.536161299207716	-4.644333403500164	3700358
3703017	HCI	image-based empirical information acquisition, scientific reliability, and long-term digital preservation for the natural sciences and cultural heritage	2008	13.09842988903226	-4.321684662055005	3703044
3704116	Visualization	turning augmented reality into a media: design exploration to build a dedicated visual language	2011	13.47222877755742	-4.607948465261873	3704143
3706861	Robotics	balanced civilization map generation based on open data	2015	13.332561707941544	-4.562533549054324	3706888
3706916	HCI	mobile human-computer interaction	2015	13.760653599131135	-4.558473889680618	3706943
3707563	Robotics	in-car machine-human interaction: how the new vehicle technologies which respond to the vehicles needs could match with the user-centered approach and contribute to shape a user-centered design approach	2004	13.777789898465144	-4.470937406599337	3707590
3707919	Robotics	electrotravelgram: data art & diy sensors	2014	13.718700319688097	-4.398855193034094	3707946
3711729	HCI	an introduction to musical metacreation	2016	14.04232709500192	-4.689388587162841	3711756
3712387	HCI	an inclusive view of player modeling	2011	13.10206601999814	-4.340146442750979	3712414
3713382	Robotics	hri caught on film	2007	13.534026954068706	-4.853807148795397	3713409
3722410	HCI	what does student writing tell us about their thinking on social justice?	2017	13.974898036418994	-4.199920223718266	3722437
3725029	HCI	digitising boardgames: issues and tensions	2015	13.955059207341904	-4.722600280514634	3725056
3726134	Robotics	robotics to facilitate robots to merge into society	2016	13.184238664211659	-4.094860945973888	3726161
3729170	AI	theoretical issues in the computational modelling of yorùbá narratives	2013	13.280662006118202	-4.183928162735558	3729197
3730547	HCI	seattle experimental animation team	2014	13.82047804797252	-4.314627114497411	3730574
3732643	Theory	walking the edit - a research project of the master cinema network in switzerland	2008	13.273962093022137	-4.27162937681089	3732670
3733077	HCI	instant archaeologies: digital lenses to probe and to perforate the urban fabric	2006	13.820727146055384	-4.728233203483401	3733104
3735791	HCI	investigating the relationship between imagery and rationale in design	2010	13.948917068253126	-4.943606724808605	3735818
3736011	HCI	speculative metaphors: a design-led approach to the visualisation of library collections	2015	14.028766241449432	-4.763763300184392	3736038
3736488	Robotics	bringing geographic information systems (gis) into the museum world	2013	13.088097826563072	-4.384449218886012	3736515
3739359	HCI	formality considered harmful: experiences, emerging themes, and directions on the use of formal representations in interactive systems	1999	13.954654353427935	-4.446518389575687	3739386
3741009	HCI	lee arnold	2005	13.428467816260849	-4.262847519032427	3741036
3745798	HCI	beyond post-it: structured multimedia annotations for collaborative ves	2014	13.130207619923302	-4.588798114952287	3745825
3747903	HCI	'unrealart' a new medium for artistic expression using a commercial game engine: galleries and installations	2008	14.034478698626986	-4.777540973465972	3747930
3748292	HCI	convergence cameras and the new documentary image	2012	13.974076663014786	-4.974946109953389	3748319
3748891	AI	a mobile cartoon creating scheme based on the materials reuse	2009	13.357277653417409	-5.00495313895443	3748918
3753533	SE	evaluation and design issues of nordic dc metadata creation tool	2001	13.3705350854875	-4.56752809710208	3753560
3754502	HCI	design of 3d printed mathematical art	2014	13.446650694206324	-4.504807974337759	3754529
3755256	HCI	rethinking media events: large screens, public space broadcasting and beyond	2010	13.855444266444476	-4.942679010456164	3755283
3756525	AI	a comparative analysis of story representations for interactive narrative systems	2007	13.318166901687555	-4.54510016200252	3756552
3758994	HCI	can musical transformations be implicitly learned?	2004	13.820440596817628	-4.385158982576358	3759021
3759252	Robotics	end-user modeling improves r&d management at agrevo canada, inc	1999	14.031169011732265	-4.547719500487067	3759279
3763737	Visualization	digital heritage and virtual archaeology: an approach through the framework of international recommendations	2017	13.707297322559262	-4.092502830754882	3763764
3764067	HCI	aesthetic entertainment of social network interaction: free network visible network	2005	13.598276576533207	-4.743559835663894	3764094
3767496	AI	between the sacred and the profane in the s. joão d'arga's festivities: a digital art installation	2014	13.958806250144768	-4.854910223497327	3767523
3767796	HCI	simulation of the complex system of speech interaction: digital visualizations	2014	14.023174141654867	-4.300159309656719	3767823
3769615	HCI	visualizing maya	2012	13.664372697561786	-4.922912207026188	3769642
3772569	AI	towards to ubiquitous affective learning	2010	13.502859823838026	-4.190896254314223	3772596
3773299	HCI	using audio and haptics for delivering spatial information via mobile devices	2010	13.109162550261665	-4.705145164335929	3773326
3779009	HCI	listening to the forest and its curators: lessons learnt from a bioacoustic smartphone application deployment	2014	13.611442835389905	-4.835544816992615	3779036
3779996	HCI	lessons learned from the netsense smartphone study	2013	13.744078382714408	-4.4354897720861555	3780023
3781717	HCI	introduction to the special section: the social implications of embedded systems	2013	13.433127557801257	-4.807077563581807	3781744
3782293	Visualization	quo vadis cave: does immersive visualization still matter?	2014	13.982716374864154	-4.115813182108396	3782320
3783469	HCI	"""melight: embodied appreciation of """"inouzu"""""""	2017	13.844668035580359	-4.454201383665716	3783496
3783666	HCI	the aesthetics of stripemaps: being small and beautiful	2016	13.724430233533619	-4.5275292618957055	3783693
3783746	Visualization	demo paper: virtual and immersive experience presentation of cultural heritage sites	2012	13.301959165546222	-4.3501408340603325	3783773
3784500	HCI	interactive multimedia ethnography: archiving workflow, interface aesthetics and metadata	2012	13.580238870483553	-4.4826394882974405	3784527
3784672	Visualization	augmented reality aided manufacturing	2013	13.334825321591037	-4.478561213171615	3784699
3787511	Visualization	information visualization: human-centered issues and perspectives	2009	13.462082346553904	-4.8056272915703016	3787538
3791907	Visualization	helping conference attendees better understand research presentations	2016	13.364840795116155	-4.361716649538054	3791934
3792425	Mobile	perceptual cells: james turrell's vision machines between two paracinemas	2016	13.70849022936864	-4.762654838981557	3792452
