id	title	keywords	abstract	entities	authors	year	journal	doi	fos	area	x	y	ix
86018b864ab7fcda50809486d85a6005ee92f592	keynote address ii: how's the parallel computing revolution going?	biomedical monitoring;software;computer languages;technological innovation;software developer;parallel computing revolution;performance improvement;scalable virtual machine services;virtual machines;awards activities;parallel computing revolution hardware vendors chip multiprocessors software developer performance improvement software innovation parallel performance virtuous cycle scalable virtual machine services;chip multiprocessors;virtual machines microprocessor chips multiprocessing systems parallel processing;multiprocessing systems;parallel processing;parallel performance virtuous cycle;microprocessor chips;software innovation;hardware vendors;awards activities software computer languages technological innovation parallel processing biomedical monitoring	Two trends changed the computing landscape over the past decade: (1) hardware vendors started delivering chip multiprocessors (CMPs) instead of uniprocessors, and (2) software developers increasingly chose managed languages instead of native languages. Unfortunately, the former change is disrupting the virtuous-cycle between performance improvements and software innovation. Establishing a new parallel performance virtuous cycle for managed languages will require scalable applications executing on scalable Virtual Machine (VM) services, since the VM schedules, monitors, compiles, optimizes, garbage collects, and executes together with the application. This talk describes current progress, opportunities, and challenges for scalable VM services. The parallel computing revolution urgently needs more innovations.	aquaporin 1;choose (action);computation (action);digital revolution;parallel computing;programming languages;scalability;schedule (document type);software developer;uniprocessor system;virtual machine;executing - querystatuscode	Kathryn S. McKinley	2011	2011 IEEE 17th International Symposium on High Performance Computer Architecture	10.1109/HPCA.2011.5749730	parallel processing;parallel computing;real-time computing;computer science;virtual machine;operating system;programming language	Arch	-8.051954379408896	46.32855803302572	145169
2b4bfac9b6f3931ee9f5af3c940c6e162ea2daa2	jacev: a programming and execution environment for asynchronous iterative computations on volatile nodes	asynchronous iterative algorithms;library design;desktop grid computing;execution environment;computational science problems;volatile nodes	In this paper we present JaceV, a multi-threaded Java based library designed to build asynchronous parallel iterative applications (with direct communications between computation nodes) and execute them in a volatile environment. We describe the components of the system and evaluate the performance of JaceV with the implementation and execution of an iterative application with volatile nodes.	computation	Jacques M. Bahi;Raphaël Couturier;Philippe Vuillemin	2006		10.1007/978-3-540-71351-7_7	parallel computing;real-time computing;computer science;operating system;distributed computing	HPC	-9.530600820803748	40.79448408872766	145402
dcfb21c447d72dea1bc91d00b2fcd9b003b83962	hybrid address spaces	parallel programming models;runtime systems;many core processors	HighlightsHybrid address spaces, as a new approach for software on non-coherent many-cores.Application-specific software-controlled coherence for non-coherent many-cores.Scalable, staged MapReduce runtime system on Intel SCC using hybrid address spaces.Scalable sorting and all-to-all exchange algorithms using on-chip communication. This paper introduces hybrid address spaces as a fundamental design methodology for implementing scalable runtime systems on many-core architectures without hardware support for cache coherence. We use hybrid address spaces for an implementation of MapReduce, a programming model for large-scale data processing, and the implementation of a remote memory access (RMA) model. Both implementations are available on the Intel SCC and are portable to similar architectures. We present the design and implementation of HyMR, a MapReduce runtime system whereby different stages and the synchronization operations between them alternate between a distributed memory address space and a shared memory address space, to improve performance and scalability. We compare HyMR to a reference implementation and we find that HyMR improves performance by a factor of 1.71i? over a set of representative MapReduce benchmarks. We also compare HyMR with Phoenix++, a state-of-art implementation for systems with hardware-managed cache coherence in terms of scalability and sustained to peak data processing bandwidth, where HyMR demonstrates improvements of a factor of 3.1i? and 3.2i? respectively. We further evaluate our hybrid remote memory access (HyRMA) programming model and assess its performance to be superior of that of message passing.		Anastasios Papagiannis;Dimitrios S. Nikolopoulos	2014	Journal of Systems and Software	10.1016/j.jss.2014.06.058	computer architecture;parallel computing;real-time computing;computer science;physical address;operating system;programming language	OS	-8.618124151765159	46.14565012252819	146505
b279560a8556a66e49360845c0d773d07b0f9795	accelerating code on multi-cores with fastflow	paper;lock free synchronization;performance;offload;programming techniques;package;patterns;computer science;c;multi core;memory	FastFlow is a programming framework specifically targeting cache-coherent shared-memory multicores. It is implemented as a stack of C++ template libraries built on top of lock-free (and memory fence free) synchronization mechanisms. Its philosophy is to combine programmability with performance. In this paper a new FastFlow programming methodology aimed at supporting parallelization of existing sequential code via offloading onto a dynamically created software accelerator is presented. The new methodology has been validated using a set of simple micro-benchmarks and some real applications. keywords: offload, patterns, multi-core, lock-free synchronization, C++.	c++;cache coherence;coherence (physics);library (computing);memory barrier;multi-core processor;non-blocking algorithm;parallel computing;shared memory;software development process	Marco Aldinucci;Marco Danelutto;Peter Kilpatrick;Massimiliano Meneghin;Massimo Torquati	2011		10.1007/978-3-642-23397-5_17	multi-core processor;computer architecture;parallel computing;real-time computing;performance;computer science;operating system;database;distributed computing;pattern;memory;programming language;package	Arch	-6.871949335019676	45.025618638496525	146633
c2ae36a5f7d947ccd8992cde7f60ea53e3531f53	design and implementation of mapreduce using the pgas programming model with upc	distributed memory;programmability;performance evaluation;software performance evaluation c language distributed shared memory systems parallel languages parallel programming;software performance evaluation;large data sets;parallel programming;unified parallel c;collective primitives;partitioned global address space;upc;programming model;instruction sets electronics packaging libraries multicore processing programming java;c language;hpc;low latency;design and implementation;distributed environment;distributed shared memory systems;high performance computer;load distribution;mapreduce;parallel programs;parallel languages;parallel applications;collective primitives upc mapreduce hpc programmability;shared memory environments mapreduce distributed environments high performance computing partitioned global address space programming model unified parallel c language parallel programming performance evaluation distributed memory environments customized load distribution	MapReduce is a powerful tool for processing large data sets used by many applications running in distributed environments. However, despite the increasing number of computationally intensive problems that require low-latency communications, the adoption of MapReduce in High Performance Computing (HPC) is still emerging. Here languages based on the Partitioned Global Address Space (PGAS) programming model have shown to be a good choice for implementing parallel applications, in order to take advantage of the increasing number of cores per node and the programmability benefits achieved by their global memory view, such as the transparent access to remote data. This paper presents the first PGAS-based MapReduce implementation that uses the Unified Parallel C (UPC) language, which (1) obtains programmability benefits in parallel programming, (2) offers advanced configuration options to define a customized load distribution for different codes, and (3) overcomes performance penalties and bottlenecks that have traditionally prevented the deployment of MapReduce applications in HPC. The performance evaluation of representative applications on shared and distributed memory environments assesses the scalability of the presented MapReduce framework, confirming its suitability.	code;collective operation;distributed memory;library (computing);load balancing (computing);locality of reference;mapreduce;parallel computing;partitioned global address space;performance evaluation;programming model;scalability;shared memory;software deployment;unified parallel c (upc);usability	Carlos Teijeiro;Guillermo L. Taboada;Juan Touriño;Ramón Doallo	2011	2011 IEEE 17th International Conference on Parallel and Distributed Systems	10.1109/ICPADS.2011.162	computer architecture;supercomputer;parallel computing;distributed memory;computer science;weight distribution;partitioned global address space;operating system;database;distributed computing;universal product code;programming paradigm;programming language;distributed computing environment;low latency	HPC	-11.158861522273304	44.7443147689217	146817
a96cd7e23bd578c21e242e89d3c496ca9a9ac18c	dynamic translation of structured loads/stores and register mapping for architectures with simd extensions		More and more modern processors have been supporting non-contiguous SIMD data accesses. However, translating such instructions has been overlooked in the Dynamic Binary Translation (DBT) area. For example, in the popular QEMU dynamic binary translator, guest memory instructions with strides are emulated by a sequence of scalar instructions, leaving a significant room for performance improvement when the host machines have SIMD instructions available. Structured loads/stores, such as VLDn/VSTn in ARM NEON, are one type of strided SIMD data access instructions. They are widely used in signal processing, multimedia, mathematical and 2D matrix transposition applications. Efficient translation of such structured loads/stores is a critical issue when migrating ARM executables to other ISAs. However, it is quite challenging since not only the translation of structured loads/stores is not trivial, but also the difference between guest and host register configurations must be taken into consideration. In this work, we present the design and implementation of translating structured loads/stores in DBT, including target code generation as well as efficient SIMD register mapping. Our proposed register mapping mechanisms are not limited to handling structured loads/stores, they can be extended to deal with normal SIMD instructions. On a set of OpenCV benchmarks, our QEMU-based system has achieved a maximum speedup of 5.41x, with an average improvement of 2.93x. On a set of BLAS benchmarks, our system has also obtained a maximum speedup of 2.19x and an average improvement of 1.63x.	arm architecture;blas;binary translation;cpu cache;central processing unit;code generation (compiler);data access;executable;just-in-time compilation;microprocessor;opencv;overhead (computing);register file;simd;signal processing;skylake (microarchitecture);speedup;x86	Sheng-Yu Fu;Ding-Yong Hong;Yu-Ping Liu;Jan-Jan Wu;Wei-Chung Hsu	2017		10.1145/3078633.3081029	programming language;parallel computing;real-time computing;code generation;signal processing;speedup;computer science;binary number;executable;data access;binary translation;simd	Arch	-5.67419075945388	46.20021396873595	146826
b2fd651e6e602b538f3c2a3534e2b15cefbc004a	a domain-specific high-level programming model	digital signal processing;auto tuning;heterogeneous cluster;unfolding techniques;programming model;data flow graph	Nowadays, computing hardware continues to move toward more parallelism and more heterogeneity, to obtain more computing power. From personal computers to supercomputers, we can find several levels of parallelism expressed by the interconnections of multi-core and many-core accelerators. On the other hand, computing software needs to adapt to this trend, and programmers can use parallel programming models PPM to fulfil this difficult task. There are different PPMs available that are based on tasks, directives, or low-level languages or library. These offer higher or lower abstraction levels from the architecture by handling their own syntax. However, to offer an efficient PPM with a greater additional high-level abstraction level while saving on performance, one idea is to restrict this to a specific domain and to adapt it to a family of applications. In the present study, we propose a high-level PPM specific to digital signal-processing applications. It is based on data-flow graph models of computation, and a dynamic run-time model of execution StarPU. We show how the user can easily express this digital signal-processing application and can take advantage of task, data, and graph parallelism in the implementation, to enhance the performances of targeted heterogeneous clusters composed of CPUs and different accelerators e.g., GPU and Xeon Phi. Copyright © 2015 John Wiley & Sons, Ltd.	domain-specific language;high- and low-level;high-level programming language;programming model	Farouk Mansouri;Sylvain Huet;Dominique Houzet	2016	Concurrency and Computation: Practice and Experience	10.1002/cpe.3622	parallel computing;real-time computing;computer science;theoretical computer science;operating system;digital signal processing;data-flow analysis;database;distributed computing;data parallelism;programming paradigm;programming language;task parallelism	PL	-5.899688899814474	44.29960827649607	146967
55896d996e2842d18d14ab46795dc32fadfcd614	load balancing for a class of irregular and dynamic problems: region growing image segmentation algorithms	electrical capacitance tomography;image segmentation;data compression;identity based encryption;gas insulated transmission lines;parallel implementations;data mining;programming model;split and merge approac;data dependence;segmentation algorithm;load management;load balancing;merging;unpredictable load fluctuations parallel implementations segmentation algorithm split and merge approac image segmentation load balancing region growing;unpredictable load fluctuations;load distribution;image analysis;load management image segmentation gas insulated transmission lines merging identity based encryption electrical capacitance tomography data compression image analysis data mining tin;load balance;parallel implementation;tin;region growing;parallel algorithms image segmentation;single program multiple data;parallel algorithms	This paper discusses and evaluates a parallel implementations of a segmentation algorithm based on the Split-andMerge approach. The solution has been conceived for a multiprocessor using the SPMD (Single Program Multiple Data) programming model and executions have been carried out on a Cray-T3E system. Our main goal is intended to describe our experiences in solving the region growing problem, which is representative of a class of non-uniform problems, characterized by a behavior that is data dependent. Since this problem exhibits unpredictable load fluctuations, it requires the use of load balancing schemes to achieve efficient parallel solutions. We also propose and analize several strategies for the selection of the region identifiers and its influence on the execution time and the load distribution.	algorithm;cray t3e;identifier;image segmentation;load balancing (computing);multiprocessing;programming model;region growing;run time (program lifecycle phase);spmd	Maria Dolores Gil Montoya;Consolación Gil;Inmaculada García	1999		10.1109/EMPDP.1999.746660	parallel computing;computer science;theoretical computer science;distributed computing	HPC	-7.314800440850386	40.964849033005386	147511
21d7928c52def00e4a2d8035ebb755e4c146d376	ttl-compatible multiport bus.				Chris S. Wallace;David Koch	1985	Comput. Syst. Sci. Eng.		parallel computing;distributed computing;computer science	DB	-9.873263888130873	43.16036506432006	148083
1092ffeb20bba8ede39e13a7129f8556951b6f32	tempera: template massively parallel library for efficient n-dimensional signal processing	richardson lucy deconvolution algorithm tempera library template massively parallel library n dimensional signal processing c library parallel signal processing image deconvolution point wise algebraic operations generic algorithms linear operators cpu gpu cuda graphics processing unit compute unified device architecture policy based template design;parallel programming algebra c language deconvolution genetic algorithms graphics processing units image processing;libraries graphics processing units kernel transforms signal processing algorithms instruction sets transfer functions;image deconvolution cuda template metaprogramming signal restoration	We present TEMPeRA: a C++ library for efficient parallel signal processing, with a focus on image deconvolution. TEMPeRA makes porting new algorithms from MATLAB to C++ easier than with the conventional methods. The library provides a class to describe a signal, with main point-wise algebraic operations, that is compatible with standard library generic algorithms. Interface for linear operators is also provided, suitable for modeling the blurring effect introduced by acquisition devices, such as telescopes or microscopes. Both classes defined in the library can exploit either CPU or GPU, using CUDA: this allows the end user to write device independent code. Moreover, thanks to policy-based template design, support for different architectures is introduced. The library is then exploited for the implementation of Richardson-Lucy deconvolution algorithm. Benchmark results shows remarkable speedup when comparing serial (CPU) code and parallel (CUDA) implementation.	algorithm;blas;benchmark (computing);c++;cuda;central processing unit;deblurring;design rationale;device independence;directive (programming);discrete fourier transform;fftw;fast fourier transform;generic function;graphics processing unit;linear algebra;matlab;map (parallel pattern);opencl api;openmp;parallel computing;programmer;richardson number;richardson–lucy deconvolution;shared memory;signal processing;speedup;standard library;template metaprogramming	Riccardo Zanella;Francesco Ceccon	2014	2014 International Conference on High Performance Computing & Simulation (HPCS)	10.1109/HPCSim.2014.6903748	multidimensional signal processing;parallel computing;computer science;theoretical computer science;digital image processing;general-purpose computing on graphics processing units;computer graphics (images)	HPC	-5.650617342302309	42.54133144210126	148161
